Produit,Allergène,Score,Lien,pix,Description,composition
24 ELLE & VIRE     Beurre tendre doux 250g,lait,na,https://www.auchan.fr/elle-vire-beurre-tendre-doux/pr-C1160647,1,"nos maitres beurriers normands ont invente le premier beurre tendre elle   vire en       un veritable beurre au gout frais, sa texture est delicieusement tendre des la sortie du refrigerateur  il s’utilise parfaitement en tartine, en cuisson et meme en patisserie, pour le plaisir de toute la famille ! il ne contient aucun additif ","    creme  origine france, matiere grasse laitiere, ferments lactiques"
21 ELLE & VIRE     Mini-beurre doux gastronomique 200g16 portions,lait,na,https://www.auchan.fr/elle-vire-mini-beurre-doux-gastronomique/pr-C1177993,2,na,"    creme  origine france, matiere grasse laitiere, ferments lactiques "
12 ELLE & VIRE     Beurre roulé doux de Condé 250g,lait,na,https://www.auchan.fr/elle-vire-beurre-roule-doux-de-conde/pr-C1176053,3,na,    beurre  lait   origine normandie 
14 BRIDELICE     Crème fouettée légère en bombe 20%MG UHT 250g,lait et ses derives,na,https://www.auchan.fr/bridelice-creme-fouettee-legere-en-bombe-20-mg-uht/pr-C1161752,4,na,na
ELLE & VIRE     Beurre tendre demi-sel barquette 2x250g,lait,na,https://www.auchan.fr/elle-vire-beurre-tendre-demi-sel-barquette/pr-C1176770,5,"le beurre tendre d’elle   vire est un beurre fabrique en normandie et facile a tartiner tout au long de l’annee  nos maitres beurriers travaillent chaque jour a vous offrir le meilleur, avec un produit riche en saveurs et une texture delicieusement tendre  il deviendra le compagnon ideal de vos tartines  vous pouvez egalement beneficier de ses avantages en cuisine, pour vos patisseries ou pour la cuisson de vos aliments  bien sur, il ne contient aucun additif ","    creme  origine france, matiere grasse laitiere, sel    , ferments lactiques"
AUCHAN     Beurre demi-sel 2x250g,presence de   lait et produits a base de lait  y compris lactose ,E,https://www.auchan.fr/auchan-beurre-demi-sel/pr-C1398933,6,na,na
1 L OEUF DE NOS VILLAGES     Œufs frais plein air calibre moyen 12 oeufs,oeufs,A,https://www.auchan.fr/l-oeuf-de-nos-villages-oeufs-frais-plein-air-calibre-moyen/pr-C1164722,7,na,na
2 AUCHAN SOLIDAIRES BIO     Lait demi-écrémé UHT 6x1l,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-solidaires-bio-lait-demi-ecreme-uht/pr-C1306935,8,na,na
5 AUCHAN SOLIDAIRES     Lait demi-écrémé équitable UHT 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-solidaires-lait-demi-ecreme-equitable-uht/pr-C1170534,9,na,na
45 CANDIA     Grandlait lait demi-écrémé bio UHT 6x1L,lait,A,https://www.auchan.fr/candia-grandlait-lait-demi-ecreme-bio-uht/pr-C1176891,10,na,na
58 AUCHAN     Lait demi-écrémé UHT Hauts-De-France 6x1L,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-uht-hauts-de-france/pr-C1170325,11,na,na
12 AUCHAN     Lait demi-écrémé UHT Hauts-de-France 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-uht-hauts-de-france/pr-C1170327,12,na,na
49 LACTEL     Lait demi-écrémé bio UHT 6x1L,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1178021,13,na,na
LACTEL     Lait demi-écrémé vitamine D 10x1l,lait de vache,na,https://www.auchan.fr/lactel-lait-demi-ecreme-vitamine-d/pr-C1424962,14,na,na
CANDIA     Viva lait UHT vitaminé 1L,lait,A,https://www.auchan.fr/candia-viva-lait-uht-vitamine/pr-C1177792,15,na,na
1 CANDIA     Viva lait vitaminé UHT 6x1L,lait,A,https://www.auchan.fr/candia-viva-lait-vitamine-uht/pr-C1177791,16,na,na
> 200 AUCHAN     Lait demi-écrémé UHT 6x1L,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-uht/pr-C1176975,17,na,na
73 LACTEL     Lait demi-écrémé bio stérilisé UHT 8x1l,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-bio-sterilise-uht/pr-C1177205,18,na,na
60 LACTEL     Lait demi-écrémé enrichi en vitamine D stérilisé UHT 8x1l,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-enrichi-en-vitamine-d-sterilise-uht/pr-C1177341,19,na,"            lait demi ecreme, vitamine d"
133 LACTEL     Lait demi-écrémé UHT 6x1L,lait,na,https://www.auchan.fr/lactel-lait-demi-ecreme-uht/pr-C1178046,20,na,na
103 CANDIA     Grand Lait demi écrémé stérilisé U.H.T. 8x1 litre,lait,A,https://www.auchan.fr/candia-grand-lait-demi-ecreme-sterilise-u-h-t/pr-C1176616,21,na,na
111 CANDIA     Viva lait demi-écrémé vitaminé UHT 8x1L,lait,A,https://www.auchan.fr/candia-viva-lait-demi-ecreme-vitamine-uht/pr-C1176807,22,na,na
CANDIA     Lait demi-écrémé frais de montagne 1l,lait,na,https://www.auchan.fr/candia-lait-demi-ecreme-frais-de-montagne/pr-C1171071,23,na,na
14 CANDIA     Viva lait vitaminé UHT 6x1L,lait,A,https://www.auchan.fr/candia-viva-lait-vitamine-uht/pr-C1177788,24,na,na
3 AUCHAN     Lait demi-écrémé équitable UHT filière responsable 1L,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-lait-demi-ecreme-equitable-uht-filiere-responsable/pr-C1170542,25,na,na
6 AUCHAN     Lait demi-écrémé 50cl,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-lait-demi-ecreme/pr-C1178130,26,na,na
4 AUCHAN     Lait demi-écrémé des campagnes Françaises en bouteilles 8x1l,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-des-campagnes-francaises-en-bouteilles/pr-C1170334,27,na,na
17 AUCHAN SOLIDAIRES BIO     Lait demi-écrémé équitable UHT 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,B,https://www.auchan.fr/auchan-solidaires-bio-lait-demi-ecreme-equitable-uht/pr-C1170537,28,na,na
AUCHAN     Lait demi écrémé facile à digérer sans lactose 6x50cl,presence de   lait et produits a base de lait  y compris lactose ,A,https://www.auchan.fr/auchan-lait-demi-ecreme-facile-a-digerer-sans-lactose/pr-C1454327,29,na,na
YOP     Mini yaourt à boire à la fraise 8x100g,lait,B,https://www.auchan.fr/yop-mini-yaourt-a-boire-a-la-fraise/pr-C1365072,30,na,na
